Column,id,legalName,category,RoadNameAddress,AdministrativeNeighborhood,LegalStatusNeighborhood,telephone
1,12605,논,음식점업,전라북도 군산시 회현면 회현초교1길 47,회현면,회현면,
2,12602,카페마실,음식점업,전라북도 군산시 회현면 회현로 182,회현면,회현면,634653555
3,12600,자매식당,음식점업,전라북도 군산시 회현면 회현로 180-1,회현면,회현면,
4,12598,여그여 동무야,음식점업,전라북도 군산시 회현면 회현로 178,회현면,회현면,
5,12596,해바라기분식&식당,음식점업,전라북도 군산시 회현면 회현로 175,회현면,회현면,
6,12595,도어(Door),음식점업,전라북도 군산시 회현면 회현로 123,회현면,회현면,634660958
7,12586,노방촌,음식점업,전라북도 군산시 회현면 자골윗길 62,회현면,회현면,634665284
8,12582,어장어,음식점업,전라북도 군산시 회현면 대위로 199,회현면,회현면,634665556
9,12581,감나무집,음식점업,전라북도 군산시 회현면 대위로 199,회현면,회현면,634663858
10,12580,모예의정원,음식점업,전라북도 군산시 회현면 대위로 172,회현면,회현면,634468172
11,12577,그린반점,음식점업,전라북도 군산시 회현면 광지산길 3,회현면,회현면,
12,12576,연도식당,음식점업,전라북도 군산시 회현로 185,회현면,회현면,634666193
13,12575,이레식당,음식점업,전라북도 군산시 회현로 180,회현면,회현면,634666046
14,12574,진미통닭,음식점업,전라북도 군산시 회현로 180,회현면,회현면,634666075
15,12573,깐치뎅이,음식점업,전라북도 군산시 회현로 178,회현면,회현면,634660221
16,12571,그린식당,음식점업,전라북도 군산시 회현로 175,회현면,회현면,
17,12568,신선가든,음식점업,전라북도 군산시 대위안길 45,회현면,회현면,634666162
18,12566,돈삼겹,음식점업,전라북도 군산시 대위로 423,회현면,회현면,
19,12485,아리랑식당,음식점업,전라북도 군산시 내항2길 255,해신동,해망동,634423780
20,12456,크라프트(CRAFT),음식점업,전라북도 군산시 평화길 9,중앙동,평화동,
21,12435,미스비(MISS B),음식점업,전라북도 군산시 평화길 43-1,중앙동,평화동,
22,12426,윤파전,음식점업,전라북도 군산시 평화길 22 ,중앙동,평화동,
23,12420,유가네식당,음식점업,전라북도 군산시 신영1길 5,중앙동,평화동,634460788
24,12406,흑룡각,음식점업,전라북도 군산시 창성동 38-19,월명동,창성동,634452216
25,12398,구불길,음식점업,전라북도 군산시 월명로 452 ,월명동,창성동,634460092
26,12396,정담,음식점업,전라북도 군산시 아리랑로 25-1 ,월명동,창성동,
27,12392,돌섬 세꼬시,음식점업,전라북도 군산시 지곡로 8,수송동,지곡동,
28,12391,카페투게더,음식점업,전라북도 군산시 지곡로 76,수송동,지곡동,
29,12388,1인자24시감자탕뼈해장국,음식점업,전라북도 군산시 지곡로 6,수송동,지곡동,
30,12382,젤라또공대,음식점업,전라북도 군산시 지곡로 36,수송동,지곡동,
31,12380,최가밥상,음식점업,전라북도 군산시 지곡로 31,수송동,지곡동,634654969
32,12375,오가다커피숍,음식점업,전라북도 군산시 지곡로 23,수송동,지곡동,634686650
33,12374,민선상회 앤 잭아저씨,음식점업,전라북도 군산시 지곡로 20,수송동,지곡동,634667302
