legalName,category,telephone,RoadNameAddress
빵굽는오남매,음식점업,063-463-8186,전라북도 군산시 오룡로 65-1
전주우족설렁탕,음식점업,063-445-9502,전라북도 군산시 대학로 88
빈해원,음식점업,063-445-2429,전라북도 군산시 동령길 57
일흥옥,음식점업,063-445-3580,전라북도 군산시 구영7길 25
유정초밥,음식점업,063-445-9844,전라북도 군산시 대학로 6-4
명월갈비,음식점업,063-445-8283,전라북도 군산시 구영7길 59
㈜이성당,음식점업,063-450-3528,전북 군산시 중앙로1가 12-2
원조뽀빠이냉면,음식점업,063-446-1785,전북 군산시 장재길 12-4
장미칼국수,음식점업,063-443-2816,전북 군산시 큰샘길 26
유락식당,음식점업,063-445-6730,전북 군산시 해망로 146-25
운정식당,음식점업,063-446-0891,전북 군산시 중정길 8-2
쌍용반점,음식점업,063-443-1259,전북 군산시 내항2길 121
계곡가든,음식점업,063-453-0608,전라북도 군산시 개정면 금강로 470-1
