id,category,legalName,RoadNameAddress,AdministrativeNeighborhood,LegalStatusNeighborhood,telephone
12605,카페,논,전북 군산시 회현면 회현초교1길 47,회현면,회현면,
12602,카페,카페마실,전북 군산시 회현면 회현로 182,회현면,회현면,063-465-3555
12600,한식,자매식당,전북 군산시 회현면 회현로 180-1,회현면,회현면,
12598,술집,여그여 동무야,전북 군산시 회현면 회현로 178,회현면,회현면,
12596,분식,해바라기분식&식당,전북 군산시 회현면 회현로 175,회현면,회현면,
12595,카페,회현커피,전북 군산시 회현면 회현로 123,회현면,회현면,063-466-0958
12586,한식,노방촌,전북 군산시 회현면 자골윗길 62,회현면,회현면,063-466-5284
12582,한식,어장어,전북 군산시 회현면 대위로 199,회현면,회현면,063-466-5556
12581,한식,감나무집,전북 군산시 회현면 대위로 199,회현면,회현면,063-466-3858
12580,카페,모예의정원,전북 군산시 회현면 대위로 172,회현면,회현면,063-446-8172
12577,중식,그린반점,전북 군산시 회현면 광지산길 3,회현면,회현면,
12576,한식,연도식당,전북 군산시 회현면 회현로 185,회현면,회현면,063-466-6193
12575,한식,이레식당,전북 군산시 회현면 회현로 180,회현면,회현면,063-466-6046
12574,치킨,진미통닭,전북 군산시 회현면 회현로 180,회현면,회현면,063-466-6075
12573,한식,깐치뎅이,전북 군산시 회현면 회현로 178,회현면,회현면,063-466-0221
12571,한식,그린식당,전북 군산시 회현면 회현로 175,회현면,회현면,
12568,한식,신선가든,전북 군산시 회현면 대위안길 45,회현면,회현면,063-466-6162
12566,한식,돈삼겹,전북 군산시 회현면 대위로 423,회현면,회현면,
12485,한식,아리랑식당,전북 군산시 내항2길 255,해신동,해망동,063-442-3780
12456,카페,크라프트(CRAFT),전북 군산시 평화길 9,중앙동,평화동,
12435,아시아음식,미쓰비,전북 군산시 평화길 43-1,중앙동,평화동,
12426,한식,윤파전,전북 군산시 평화길 22,중앙동,평화동,
12420,한식,유가네식당,전북 군산시 신영1길 5,중앙동,평화동,063-446-0788
12406,중식,흑룡각,전북 군산시 아리랑로 20,월명동,창성동,063-445-2216
12398,한식,구불길,전북 군산시 월명로 452,월명동,창성동,063-446-0092
12396,술집,정담,전북 군산시 아리랑로 25-1,월명동,창성동,
12392,한식,돌섬 세꼬시,전북 군산시 지곡로 8,수송동,지곡동,
12391,카페,카페투게더,전북 군산시 지곡로 76,수송동,지곡동,
12388,한식,1인자24시감자탕뼈해장국,전북 군산시 지곡로 6,수송동,지곡동,
12382,간식,젤라또공대,전북 군산시 지곡로 36,수송동,지곡동,
