id,legalName,RoadNameAddress,AdministrativeNeighborhood
1,준베이커리,전북 군산시 옥서면 옥구저수지로 230,옥서면
2,태화각,전북 군산시 백릉안4길 52,조촌동
3,현대옥,전북 군산시 상나운3길 29-3,나운1동
4,청담이상,전북 군산시 동수송안길 25,수송동
5,원할머니보쌈,전북 군산시 공단대로 398,나운2동
6,미소한우,전북 군산시 임피면 계남1길 50,임피면
7,형주수산,전북 군산시 비응남로 97,소룡동
8,취향,전북 군산시 새만금북로 247,소룡동
9,시루향기,전북 군산시 수송안길 23,수송동
10,꽃보다소,전북 군산시 칠성로 172,소룡동
11,더갈비,전북 군산시 공단대로 601,소룡동
12,미원분식,전북 군산시 미원로 116-2,흥남동
13,한방순대,전북 군산시 부원로 17,나운3동
14,코코호도군산나운점,전북 군산시 하나운로 45,나운2동
15,24시김집돌솥설렁탕,전북 군산시 나운로 117,나운2동
16,맛의현장,전북 군산시 부원로 17,나운3동
17,튀김애,전북 군산시 의료원로 137,나운3동
18,아딸,전북 군산시 의료원로 163,나운3동
19,마일드치킨,전북 군산시 창성3길 7,월명동
20,파페모에커피,전북 군산시 공단대로 469,나운3동
21,교촌치킨,전북 군산시 백토로 231,수송동
22,대굴대굴칼국수,전북 군산시 칠성로 111,미성동
23,나는남자다,전북 군산시 가도로 181,소룡동
24,육대장군산시청점,전북 군산시 조촌로 38,조촌동
25,카페베네,전북 군산시 동지곡길 177-4,수송동
26,딸부자네통닭,전북 군산시 서흥길 68-2,흥남동
27,피터팬,전북 군산시 성산면 송호로 128,성산면
28,나유식당,전북 군산시 칠성안2길 37,미성동
29,살몬마켓,전북 군산시 수송5길 5,수송동
30,BeanBin,전북 군산시 공단대로 595,소룡동
31,청정에브리마트브레드킹,전북 군산시 문화로 48,나운2동
32,뽕이네,전북 군산시 동장산로 58,미성동
33,와플반트,전북 군산시 진포1길 1,수송동
34,아모르군산점,전북 군산시 현충로 93-2,나운3동
35,화양양꼬치,전북 군산시 동수송5길 18,수송동
36,어울림,전북 군산시 옥산면 계산로 97,옥산면
37,할매손맛,전북 군산시 동아로 146-3,미성동
38,꿀닭,전북 군산시 설림안3길 15,소룡동
39,공차,전북 군산시 미제2길 19,나운3동
40,김현진과자점,전북 군산시 월명로 338,흥남동
41,묵은지양푼갈비,전북 군산시 진포로 146,조촌동
42,호두까기호두과자,전북 군산시 황룡안길 49,나운3동
43,행복촌,전북 군산시 상신7길 14,나운1동
44,발산떡방앗간,전북 군산시 개정면 번영로 725,개정면
45,이순신장군갈비,전북 군산시 현충로 96,나운3동
46,착한백반,전북 군산시 요죽길 37,소룡동
47,더시카고짬뽕,전북 군산시 수송안5길 9,수송동
48,빠끔가맥,전북 군산시 미제1길 7,나운3동
49,뽕뜨락피자조촌점,전북 군산시 조촌4길 34,조촌동
50,486번커피,전북 군산시 경기장로 36,개정동
51,BHC치킨,전북 군산시 미장안길 50-13,수송동
52,쉘브르제과점,전북 군산시 하나운로 45,나운2동
53,가가메,전북 군산시 거석길 37-1,월명동
54,발렌타인피자,전북 군산시 동령길 6,월명동
55,아이비커피숍,전북 군산시 상나운1길 4,나운1동
56,오성산,전북 군산시 조촌안4길 20,조촌동
57,타운치킨&호프,전북 군산시 칠성5길 31,나운3동
58,멕시칸치킨,전북 군산시 경촌1길 56,경암동
59,얼큰이아구생선회,전북 군산시 백토로 217,수송동
60,변학도,전북 군산시 미룡로 41,나운3동
61,신풍원,전북 군산시 대학로 132-1,신풍동
62,옛날왕만두찐빵,전북 군산시 미원로 120,흥남동
63,일규식당,전북 군산시 하신1길 11,나운1동
64,수타원,전북 군산시 조촌2길 96,조촌동
65,백년삼계탕,전북 군산시 미원로 109,흥남동
66,양푼이해물탕횟집,전북 군산시 수송안3길 5,수송동
67,파스쿠찌,전북 군산시 축동2길 39-4,수송동
68,홍콩반점,전북 군산시 생멀로 37,소룡동
69,온누리갈비,전북 군산시 신평길 11,수송동
70,바다뜰한식마을,전북 군산시 가도로 14,소룡동
71,김미숙부대찌개보쌈수송점,전북 군산시 수송1길 19,수송동
72,소풍분식,전북 군산시 미제4길 1,나운3동
73,배스킨라빈스31군산소룡점,전북 군산시 동아로 163,소룡동
74,샘골회수산,전북 군산시 비응동로 51,소룡동
75,광명수산,전북 군산시 비응남로 31,소룡동
76,커피점빵,전북 군산시 백토로 9,신풍동
77,안젤라분식,전북 군산시 구영5길 118-16,월명동
78,새천년유황오리,전북 군산시 하나운로 122,나운2동
79,153부대찌개,전북 군산시 옥서면 신장원길 32,옥서면
80,원할머니보쌈족발군산나운점,전북 군산시 공단대로 396,나운2동
81,명품아구,전북 군산시 옥산면 대위로 128,옥산면
82,파리바게뜨군산전북외고점,전북 군산시 공항로 86,소룡동
83,브라운카펫,전북 군산시 대야면 번영로 895,대야면
84,신바람난찐빵대야점,전북 군산시 대야면 번영로 879,대야면
85,그때그집,전북 군산시 임피면 서원석곡로 603,임피면
86,탐앤탐스,전북 군산시 월명로 277,수송동
87,소머리국밥,전북 군산시 대야면 대야관통로 30,대야면
88,또래오래군산대야점,전북 군산시 대야면 대야관통로 55,대야면
89,금성불갈비냉면,전북 군산시 나운4길 17,나운2동
90,통닭호프,전북 군산시 성산면 동군산로 77,성산면
91,수배로스,전북 군산시 신평2길 3,수송동
92,천리향,전북 군산시 공항로 84,소룡동
93,파리바게뜨군산미룡2호점,전북 군산시 미룡로 46,나운3동
94,이디야커피,전북 군산시 계산로 89,수송동
95,이디야커피군산수송동점,전북 군산시 수송로 174,수송동
96,명산식당,전북 군산시 거석길 3,월명동
97,행복촌,전북 군산시 상신7길 15,나운1동
98,까투리,전북 군산시 신설1길 5,나운1동
99,대일반점,전북 군산시 구시장로 77,중앙동
100,김밥천국,전북 군산시 해망로 17-8,흥남동
101,멕시칸치킨,전북 군산시 양안로 122,조촌동
102,비,전북 군산시 부원로 17,나운3동
103,목련관,전북 군산시 장산로 25,소룡동
104,페리카나치킨,전북 군산시 수송로 51,나운2동
105,동반자,전북 군산시 중앙로 80-16,흥남동
106,빠리바게트,전북 군산시 양안로 120,조촌동
107,마코토회전초밥,전북 군산시 백토로 198,나운2동
108,바이킹,전북 군산시 나운로 69,나운2동
109,사랑마트,전북 군산시 공항로 62-1,소룡동
110,초가마루,전북 군산시 칠성로 139,미성동
111,옛날팥죽,전북 군산시 신설2길 4,나운1동
112,해금강다방,전북 군산시 부원로 17,나운3동
113,땡초먹고맴맴,전북 군산시 백토로 92,신풍동
114,동백이머무는곳,전북 군산시 하포로 29,수송동
115,장인족발,전북 군산시 하나운로 37,나운2동
