Column,id,category,legalName,RoadNameAddress,AdministrativeNeighborhood,LegalStatusNeighborhood,telephone,isThisGunsanGift,isThisMillenniumStore,IsThisHoleIntheWall,IsThisChackanStore,IsThisGoodRestaurant
0,1,,준베이커리,전북 군산시 옥서면 옥구저수지로 230,옥서면,,-,X,X,X,X,X
1,2,,태화각,전북 군산시 백릉안4길 52,조촌동,,-,X,X,X,X,X
2,3,,현대옥,전북 군산시 상나운3길 29-3,나운동,,-,X,X,X,X,X
3,4,,청담이상,전북 군산시 동수송안길 25,수송동,,-,X,X,X,X,X
4,5,,원할머니보쌈,전북 군산시 공단대로 398,나운동,,-,X,X,X,X,X
5,6,,미소한우,전북 군산시 임피면 계남1길 50,임피면,,-,X,X,X,X,X
6,7,,형주수산,전북 군산시 비응남로 97,소룡동,,-,X,X,X,X,X
7,8,,취향,전북 군산시 새만금북로 247,소룡동,,-,X,X,X,X,O
8,9,,시루향기,전북 군산시 수송안길 23,수송동,,-,X,X,X,X,X
9,10,한식,꽃보다소,전북 군산시 칠성로 172,소룡동,,0634618592,O,X,X,X,X
10,11,,더갈비,전북 군산시 공단대로 601,소룡동,,-,X,X,X,X,X
11,12,,미원분식,전북 군산시 미원로 116-2,흥남동,,-,X,X,X,X,X
12,13,,한방순대,전북 군산시 부원로 17,나운동,,-,X,X,X,X,X
13,14,,코코호도군산나운점,전북 군산시 하나운로 45,나운동,,-,X,X,X,X,X
14,15,,24시김집돌솥설렁탕,전북 군산시 나운로 117,나운동,,-,X,X,X,X,X
15,16,,맛의현장,전북 군산시 부원로 17,나운동,,-,X,X,X,X,X
16,17,,튀김애,전북 군산시 의료원로 137,나운동,,-,X,X,X,X,X
17,18,,아딸,전북 군산시 의료원로 163,나운동,,-,X,X,X,X,X
18,19,,마일드치킨,전북 군산시 창성3길 7,월명동,,-,X,X,X,X,X
19,20,,파페모에커피,전북 군산시 공단대로 469,나운동,,-,X,X,X,X,X
20,21,,교촌치킨,전북 군산시 백토로 231,수송동,,-,X,X,X,X,X
21,22,,대굴대굴칼국수,전북 군산시 칠성로 111,미성동,,-,X,X,X,X,X
22,23,,나는남자다,전북 군산시 가도로 181,소룡동,,-,X,X,X,X,X
23,24,한식,육대장군산시청점,전북 군산시 조촌로 38,조촌동,,0634529973,O,X,X,X,X
24,25,,카페베네,전북 군산시 동지곡길 177-4,수송동,,-,X,X,X,X,X
25,26,치킨,딸부자네통닭,전북 군산시 서흥길 68-2,흥남동,,0634469989,O,X,X,X,X
26,27,,피터팬,전북 군산시 성산면 송호로 128,성산면,,-,X,X,X,X,X
27,28,,나유식당,전북 군산시 칠성안2길 37,미성동,,-,X,X,X,X,X
28,29,,살몬마켓,전북 군산시 수송5길 5,수송동,,-,X,X,X,X,X
29,30,,BeanBin,전북 군산시 공단대로 595,소룡동,,-,X,X,X,X,X
30,31,,청정에브리마트브레드킹,전북 군산시 문화로 48,신풍동,,-,X,X,X,X,X
31,32,,뽕이네,전북 군산시 동장산로 58,미성동,,-,X,X,X,X,X
32,33,간식,와플반트,전북 군산시 진포1길 1,수송동,,0634653225,O,X,X,X,X
33,34,,아모르군산점,전북 군산시 현충로 93-2,나운동,,-,X,X,X,X,X
34,35,중식,화양양꼬치,전북 군산시 동수송5길 18,수송동,,-,O,X,X,X,X
35,36,술집,어울림,전북 군산시 옥산면 계산로 97,옥산면,,0634688384,O,X,X,X,X
36,37,,할매손맛,전북 군산시 동아로 146-3,미성동,,-,X,X,X,X,X
37,38,,꿀닭,전북 군산시 설림안3길 15,소룡동,,-,X,X,X,X,X
38,39,,공차,전북 군산시 미제2길 19,나운동,,-,X,X,X,X,X
39,40,간식,김현진과자점,전북 군산시 월명로 338,월명동,,0634432003,O,X,X,X,X
40,41,,묵은지양푼갈비,전북 군산시 진포로 146,조촌동,,-,X,X,X,X,X
41,42,,호두까기호두과자,전북 군산시 황룡안길 49,나운동,,-,X,X,X,X,X
42,43,,행복촌,전북 군산시 상신7길 14,나운동,,-,X,X,X,X,X
43,44,,발산떡방앗간,전북 군산시 개정면 번영로 725,개정동,,-,X,X,X,X,X
44,45,한식,이순신장군갈비,전북 군산시 현충로 96,나운동,,-,O,X,X,X,X
45,46,한식,착한백반,전북 군산시 요죽길 37,소룡동,,0634654652,O,X,X,X,X
46,47,,더시카고짬뽕,전북 군산시 수송안5길 9,수송동,,-,X,X,X,X,X
47,48,,빠끔가맥,전북 군산시 미제1길 7,나운동,,-,X,X,X,X,X
48,49,,뽕뜨락피자조촌점,전북 군산시 조촌4길 34,조촌동,,-,X,X,X,X,X
49,50,,486번커피,전북 군산시 경기장로 36,개정동,,-,X,X,X,X,X
50,51,,BHC치킨,전북 군산시 미장안길 50-13,수송동,,-,X,X,X,X,X
51,52,,쉘브르제과점,전북 군산시 하나운로 45,나운동,,-,X,X,X,X,X
52,53,,가가메,전북 군산시 거석길 37-1,월명동,,-,X,X,X,X,X
53,54,,발렌타인피자,전북 군산시 동령길 6,월명동,,-,X,X,X,X,X
54,55,,아이비커피숍,전북 군산시 상나운1길 4,나운동,,-,X,X,X,X,X
55,56,,오성산,전북 군산시 조촌안4길 20,조촌동,,-,X,X,X,X,X
56,57,,타운치킨&호프,전북 군산시 칠성5길 31,나운동,,-,X,X,X,X,X
57,58,치킨,멕시칸치킨,전북 군산시 경촌1길 56,경암동,,-,O,X,X,X,X
58,59,,얼큰이아구생선회,전북 군산시 백토로 217,수송동,,-,X,X,X,X,X
59,60,,변학도,전북 군산시 미룡로 41,나운동,,-,X,X,X,X,X
60,61,,신풍원,전북 군산시 대학로 132-1,신풍동,,-,X,X,X,X,X
61,62,,옛날왕만두찐빵,전북 군산시 미원로 120,흥남동,,-,X,X,X,X,X
62,63,,일규식당,전북 군산시 하신1길 11,나운동,,-,X,X,X,X,X
63,64,,수타원,전북 군산시 조촌2길 96,조촌동,,-,X,X,X,X,X
64,65,,백년삼계탕,전북 군산시 미원로 109,흥남동,,-,X,X,X,X,X
65,66,,양푼이해물탕횟집,전북 군산시 수송안3길 5,수송동,,-,X,X,X,X,X
66,67,,파스쿠찌,전북 군산시 축동2길 39-4,서수면,,-,X,X,X,X,X
67,68,,홍콩반점,전북 군산시 생멀로 37,소룡동,,-,X,X,X,X,X
68,69,,온누리갈비,전북 군산시 신평길 11,수송동,,-,X,X,X,X,X
69,70,한식,바다뜰한식마을,전북 군산시 가도로 14,소룡동,,0634717022,O,X,X,X,X
70,71,,김미숙부대찌개보쌈수송점,전북 군산시 수송1길 19,수송동,,-,X,X,X,X,X
71,72,,소풍분식,전북 군산시 미제4길 1,나운동,,-,X,X,X,X,X
72,73,,배스킨라빈스31군산소룡점,전북 군산시 동아로 163,소룡동,,-,X,X,X,X,X
73,74,,샘골회수산,전북 군산시 비응동로 51,소룡동,,-,X,X,X,X,X
74,75,,광명수산,전북 군산시 비응남로 31,소룡동,,-,X,X,X,X,X
75,76,,커피점빵,전북 군산시 백토로 9,신풍동,,-,X,X,X,X,X
76,77,,안젤라분식,전북 군산시 구영5길 118-16,중앙동,,-,X,X,X,X,X
77,78,,새천년유황오리,전북 군산시 하나운로 122,나운동,,-,X,X,X,X,X
78,79,한식,153부대찌개,전북 군산시 옥서면 신장원길 32,옥서면,,0634630067,O,X,X,X,X
79,80,,원할머니보쌈족발군산나운점,전북 군산시 공단대로 396,나운동,,-,X,X,X,X,X
80,81,,명품아구,전북 군산시 옥산면 대위로 128,옥산면,,-,X,X,X,X,X
81,82,,파리바게뜨군산전북외고점,전북 군산시 공항로 86,소룡동,,-,X,X,X,X,X
82,83,,브라운카펫,전북 군산시 대야면 번영로 895,중앙동,,-,X,X,X,X,X
83,84,,신바람난찐빵대야점,전북 군산시 대야면 번영로 879,중앙동,,-,X,X,X,X,X
84,85,,그때그집,전북 군산시 임피면 서원석곡로 603,임피면,,-,X,X,X,X,X
85,86,,탐앤탐스,전북 군산시 월명로 277,월명동,,-,X,X,X,X,X
86,87,,소머리국밥,전북 군산시 대야면 대야관통로 30,대야면,,-,X,X,X,X,X
87,88,,또래오래군산대야점,전북 군산시 대야면 대야관통로 55,대야면,,-,X,X,X,X,X
88,89,,금성불갈비냉면,전북 군산시 나운4길 17,나운동,,-,X,X,X,X,X
89,90,,통닭호프,전북 군산시 성산면 동군산로 77,성산면,,-,X,X,X,X,X
90,91,한식,수배로스,전북 군산시 신평2길 3,수송동,,0634714636,O,X,X,X,X
91,92,,천리향,전북 군산시 공항로 84,소룡동,,-,X,X,X,X,X
92,93,,파리바게뜨군산미룡2호점,전북 군산시 미룡로 46,나운동,,-,X,X,X,X,X
93,94,,이디야커피,전북 군산시 계산로 89,수송동,,-,X,X,X,X,X
94,95,,이디야커피군산수송동점,전북 군산시 수송로 174,수송동,,-,X,X,X,X,X
95,96,,명산식당,전북 군산시 거석길 3,월명동,,-,X,X,X,X,X
96,97,,행복촌,전북 군산시 상신7길 15,나운동,,-,X,X,X,X,X
97,98,,까투리,전북 군산시 신설1길 5,나운동,,-,X,X,X,X,X
98,99,,대일반점,전북 군산시 구시장로 77,중앙동,,-,X,X,X,X,X
99,100,,김밥천국,전북 군산시 해망로 17-8,해신동,,-,X,X,X,X,X
100,101,치킨,멕시칸치킨,전북 군산시 양안로 122,조촌동,,-,O,X,X,X,X
101,102,,비,전북 군산시 부원로 17,나운동,,-,X,X,X,X,X
102,103,,목련관,전북 군산시 장산로 25,소룡동,,-,X,X,X,X,X
103,104,,페리카나치킨,전북 군산시 수송로 51,수송동,,-,X,X,X,X,X
104,105,,동반자,전북 군산시 중앙로 80-16,중앙동,,-,X,X,X,X,X
105,106,,빠리바게트,전북 군산시 양안로 120,조촌동,,-,X,X,X,X,X
106,107,일식,마코토회전초밥,전북 군산시 백토로 198,나운동,,0634688879,O,X,X,X,X
107,108,,바이킹,전북 군산시 나운로 69,나운동,,-,X,X,X,X,X
108,109,,사랑마트,전북 군산시 공항로 62-1,소룡동,,-,X,X,X,X,X
109,110,,초가마루,전북 군산시 칠성로 139,미성동,,-,X,X,X,X,X
110,111,한식,옛날팥죽,전북 군산시 신설2길 4,나운동,,0634428884,O,X,X,X,X
111,112,,해금강다방,전북 군산시 부원로 17,나운동,,-,X,X,X,X,X
112,113,한식,땡초먹고맴맴,전북 군산시 백토로 92,신풍동,,0634719333,O,X,X,X,X
113,114,,동백이머무는곳,전북 군산시 하포로 29,수송동,,-,X,X,X,X,X
114,115,한식,장인족발,전북 군산시 하나운로 37,나운동,,0634637789,O,X,X,X,X
115,116,,장군회집,전북 군산시 내항2길 216,해신동,,-,X,X,X,X,X
116,117,,봉채국수수송점,전북 군산시 축동로 37,서수면,,-,X,X,X,X,X
117,118,,이레수산,전북 군산시 내항2길 216,해신동,,-,X,X,X,X,X
118,119,,고향집,전북 군산시 옥구읍 옥구로 250,옥구읍,,-,X,X,X,X,X
119,120,,커피콩콩,전북 군산시 영동로 13,중앙동,,-,X,X,X,X,X
120,121,,고군산집,전북 군산시 하나운안1길 16,나운동,,-,X,X,X,X,X
121,122,,군산회직매장,전북 군산시 신설로 13,나운동,,-,X,X,X,X,X
122,123,양식,파스토,전북 군산시 황룡안길 50,나운동,,0634646202,O,X,X,X,X
123,124,,만남호프,전북 군산시 가도로 192,소룡동,,-,X,X,X,X,X
124,125,,실내마차,전북 군산시 서래로 59,경암동,,-,X,X,X,X,X
125,126,,집시,전북 군산시 하신2길 14,나운동,,-,X,X,X,X,X
126,127,,그때그시절,전북 군산시 하나운안1길 16,나운동,,-,X,X,X,X,X
127,128,,청평가든,전북 군산시 하나운안1길 16,나운동,,-,X,X,X,X,X
128,129,한식,산수촌,전북 군산시 옥서면 옥구저수지로 156,옥서면,,-,O,X,X,X,X
129,130,한식,가빈이네,전북 군산시 옥도면 선유북길 117,옥도면,,0634661092,O,X,X,X,X
130,131,,쌍용집,전북 군산시 대학로 7-4,월명동,,-,X,X,X,X,X
131,132,,모두의야식,전북 군산시 상신안길 34,나운동,,-,X,X,X,X,X
132,133,,투다리수송제일점,전북 군산시 축동안길 41,서수면,,-,X,X,X,X,X
133,134,,필,전북 군산시 대학로 406,나운동,,-,X,X,X,X,X
134,135,,우끼는포장마차,전북 군산시 부곡로 124,나포면,,-,X,X,X,X,X
135,136,,한마음,전북 군산시 하나운3길 26,나운동,,-,X,X,X,X,X
136,137,한식,생뚝,전북 군산시 구영7길 115,중앙동,,0634424223,O,X,X,X,X
137,138,,소문난잔치국수,전북 군산시 백토로 12,신풍동,,-,X,X,X,X,X
138,139,,일우,전북 군산시 분멀안길 9,소룡동,,-,X,X,X,X,X
139,140,,용봉루,전북 군산시 오룡로 17,삼학동,,-,X,X,X,X,X
140,141,한식,신우식당,전북 군산시 하신2길 12-3,나운동,,0634667642,O,X,X,X,X
141,142,,만나식당,전북 군산시 한밭3길 5,나운동,,-,X,X,X,X,X
142,143,술집,크로바,전북 군산시 하신2길 16-4,나운동,,-,O,X,X,X,X
143,144,,현주식당,전북 군산시 칠성안1길 18,미성동,,-,X,X,X,X,X
144,145,분식,상고앞분식,전북 군산시 팔마로 10,신풍동,,-,O,X,X,X,X
145,146,,싸목싸목꺼먹돼지,전북 군산시 서수송1길 16,수송동,,-,X,X,X,X,X
146,147,,꺼먹돼지,전북 군산시 하신1길 22,나운동,,-,X,X,X,X,X
147,148,,나주수산,전북 군산시 내항2길 289,해신동,,-,X,X,X,X,X
148,149,,정문,전북 군산시 옥서면 신장원길 25,옥서면,,-,X,X,X,X,X
149,150,,월명가든,전북 군산시 월명2길 10,월명동,,-,X,X,X,X,X
150,151,,분식의달인,전북 군산시 동아로 145,미성동,,-,X,X,X,X,X
151,152,,하모니베이커리,전북 군산시 진포로 240,경암동,,-,X,X,X,X,X
152,153,,카카오츄로,전북 군산시 미룡로 73,나운동,,-,X,X,X,X,X
153,154,중식,송반장,전북 군산시 칠성로 149,미성동,,-,O,X,X,X,X
154,155,,와이드윙,전북 군산시 옥서면 신장원길 9,옥서면,,-,X,X,X,X,X
155,156,,풍년통닭앤튀김,전북 군산시 동아로 146,미성동,,-,X,X,X,X,X
156,157,양식,99씨엘,전북 군산시 서수면 임피중길 8,중앙동,,0634531950,O,X,X,X,X
157,158,,메가커피,전북 군산시 월명로 460-1,월명동,,-,X,X,X,X,X
158,159,식품판매,총각네수산,전북 군산시 칠성로 177,소룡동,,0634656163,O,X,X,X,X
159,160,,밥강도꽃게장,전북 군산시 공단대로 139,수송동,,-,X,X,X,X,X
160,161,카페,낭만가비,전북 군산시 청소년회관로 49,신풍동,,0634664006,O,X,X,X,X
161,162,,곤드레만드레,전북 군산시 의료원로 137,나운동,,-,X,X,X,X,X
162,163,,미생이네,전북 군산시 하신2길 15,나운동,,-,X,X,X,X,X
163,164,,은파장어,전북 군산시 공항로 126,미성동,,-,X,X,X,X,X
164,165,,카페33.9,전북 군산시 조촌안1길 22,조촌동,,-,X,X,X,X,X
165,166,,육비보쌈,전북 군산시 수송로 122,수송동,,-,X,X,X,X,X
166,167,,인사동,전북 군산시 상지곡안2길 4-7,수송동,,-,X,X,X,X,X
167,168,,우리들이야기,전북 군산시 상지곡3길 28,수송동,,-,X,X,X,X,X
168,169,,둥지,전북 군산시 칠성4길 173,소룡동,,-,X,X,X,X,X
169,170,,산수모밀,전북 군산시 청소년회관로 70,신풍동,,-,X,X,X,X,X
170,171,,황금개정오리,전북 군산시 번영로 411,중앙동,,-,X,X,X,X,X
171,172,,큰들,전북 군산시 대야면 우덕실길 55,대야면,,-,X,X,X,X,X
172,173,,고수쌀치킨,전북 군산시 임피면 호원대3길 62,임피면,,-,X,X,X,X,X
173,174,,쭈노치킨호원대점,전북 군산시 임피면 호원대3길 47,임피면,,-,X,X,X,X,X
174,175,,BBQ치킨,전북 군산시 옥서면 남군산로 1911-7,옥서면,,-,X,X,X,X,X
175,176,,진포해장국,전북 군산시 새만금북로 211,소룡동,,-,X,X,X,X,X
176,177,,나주곰탕본가,전북 군산시 옥산면 여로1길 49,옥산면,,-,X,X,X,X,X
177,178,,만나식당,전북 군산시 평화길 137,중앙동,,-,X,X,X,X,X
178,179,,꽃돼지,전북 군산시 팔마로 119,흥남동,,-,X,X,X,X,X
179,180,,연변이모양꼬치,전북 군산시 요죽안2길 22,소룡동,,-,X,X,X,X,X
180,181,,춘추옥,전북 군산시 상지곡1길 49,수송동,,-,X,X,X,X,X
181,182,,황태해장국,전북 군산시 시청로 8-6,조촌동,,-,X,X,X,X,X
182,183,,마시꼬핫도그,전북 군산시 팔마로 186,흥남동,,-,X,X,X,X,X
183,184,,이가빈,전북 군산시 비응남로 97,소룡동,,-,X,X,X,X,X
184,185,,다락,전북 군산시 조촌안3길 19,조촌동,,-,X,X,X,X,X
185,186,분식,두끼군산점,전북 군산시 수송로 86,수송동,,-,O,X,X,X,X
186,187,,회현농협,전북 군산시 회현면 광지산길 4,회현면,,-,X,X,X,X,X
187,188,술집,포차어게인,전북 군산시 수송로 23,수송동,,-,O,X,X,X,X
188,189,,옛날가마솥양념통닭,전북 군산시 삼학안1길 10,삼학동,,-,X,X,X,X,X
189,190,한식,24시전주명가콩나물국밥군산수송점,전북 군산시 수송로 241,수송동,,0634632221,O,X,X,X,X
190,191,,사랑채,전북 군산시 양안로 97,조촌동,,-,X,X,X,X,X
191,192,,이지행중국음식점,전북 군산시 동령길 27,월명동,,-,X,X,X,X,X
192,193,,파반느레스토랑,전북 군산시 동아로 145-1,미성동,,-,X,X,X,X,X
193,194,,로드카페,전북 군산시 해망로 206,해신동,,-,X,X,X,X,X
194,195,,우리왕족발보쌈,전북 군산시 하나운로 45,나운동,,-,X,X,X,X,X
195,196,,에디슨치킨,전북 군산시 하나운로 20,나운동,,-,X,X,X,X,X
196,197,,우리통닭,전북 군산시 풍전3길 30,소룡동,,-,X,X,X,X,X
197,198,,뚜레쥬르군산동원점,전북 군산시 의료원로 108,수송동,,-,X,X,X,X,X
198,199,,왕고을황제갈비,전북 군산시 개정면 아동북길 63-6,개정동,,-,X,X,X,X,X
199,200,,화수목민물장어즉석숯불구이,전북 군산시 상지곡3길 43,수송동,,-,X,X,X,X,X
200,201,,카페다커피군산점,전북 군산시 상지곡안2길 18,수송동,,-,X,X,X,X,X
201,202,,싱싱세꼬시회,전북 군산시 황룡로 57,나운동,,-,X,X,X,X,X
202,203,,군산수산물센터,전북 군산시 도선길 17,해신동,,-,X,X,X,X,X
203,204,,놀부옛날통닭군산수송통닭점,전북 군산시 수송안9길 5,수송동,,-,X,X,X,X,X
204,205,,BBQ치킨군산산북소룡점,전북 군산시 칠성7길 96,미성동,,-,X,X,X,X,X
205,206,카페,커피하우스,전북 군산시 비응동로 55,소룡동,,-,O,X,X,X,X
206,207,,철길왕닭꼬치,전북 군산시 경촌4길 26,경암동,,-,X,X,X,X,X
207,208,,회현식당,전북 군산시 회현면 회현로 179,회현면,,-,X,X,X,X,X
208,209,,고봉민김밥인,전북 군산시 수송3길 1,수송동,,-,X,X,X,X,X
209,210,한식,들녘,전북 군산시 칠성5길 31,나운동,,-,O,X,X,X,X
210,211,,지코바양념치킨수송점,전북 군산시 축동안길 37,서수면,,-,X,X,X,X,X
211,212,,토스트하우스,전북 군산시 설림3길 23,소룡동,,-,X,X,X,X,X
212,213,,문서방네국밥,전북 군산시 새만금북로 297,소룡동,,-,X,X,X,X,X
213,214,,꽃샘마을,전북 군산시 대학로 309,나운동,,-,X,X,X,X,X
214,215,,커피앤토스트,전북 군산시 비응남로 77,소룡동,,-,X,X,X,X,X
215,216,,방앗간,전북 군산시 미제2길 8-10,나운동,,-,X,X,X,X,X
216,217,,최돼지부라더스,전북 군산시 미제2길 8-4,나운동,,-,X,X,X,X,X
217,218,,빅샷커피,전북 군산시 부곡5길 10,나포면,,-,X,X,X,X,X
218,219,,소설여행,전북 군산시 월명로 516-2,월명동,,-,X,X,X,X,X
219,220,,부길국밥,전북 군산시 구암로 174,구암동,,-,X,X,X,X,X
220,221,,칠성포차,전북 군산시 동수송5길 6,수송동,,-,X,X,X,X,X
221,222,,밥이랑국수랑,전북 군산시 서수면 함안로 431,서수면,,-,X,X,X,X,X
222,223,한식,예가명태찜,전북 군산시 계산로 87-8,수송동,,0634617779,O,X,X,X,X
223,224,,그대에게말합니다,전북 군산시 대학로 210-1,신풍동,,-,X,X,X,X,X
224,225,,에이비씨커피,전북 군산시 문화로 33,신풍동,,-,X,X,X,X,X
225,226,,더갈비드림빌점,전북 군산시 옥서면 옥구저수지로 307,옥서면,,-,X,X,X,X,X
226,227,카페,에이비씨커피,전북 군산시 자유로 482,소룡동,,0634678300,O,X,X,X,X
227,228,,본가해장국,전북 군산시 공단대로 129,수송동,,-,X,X,X,X,X
228,229,한식,현대옥나운동삼성아파트점,전북 군산시 수송로 56,수송동,,0634628876,O,X,X,X,X
229,230,중식,서수반점,전북 군산시 서수면 항쟁로 210,서수면,,0634510788,O,X,X,X,X
230,231,한식,초가마루,전북 군산시 소룡길 48,소룡동,,-,O,X,X,X,X
231,232,,명진이네,전북 군산시 지곡로 14,수송동,,-,X,X,X,X,X
232,233,한식,호박터,전북 군산시 옥산면 산성로 166,옥산면,,0634662999,O,X,X,X,X
233,234,,다이아몬드청춘클럽,전북 군산시 부곡5길 6-1,나포면,,-,X,X,X,X,X
234,235,,동촌가든,전북 군산시 법원로 25-4,조촌동,,-,X,X,X,X,X
235,236,,배스킨라빈스31군산영동점,전북 군산시 중앙로 139,중앙동,,-,X,X,X,X,X
236,237,,붉은대게,전북 군산시 수송7길 27,수송동,,-,X,X,X,X,X
237,238,,요다지,전북 군산시 상나운3길 42,나운동,,-,X,X,X,X,X
