id,legalName,category,telephone,RoadNameAddress
1,빵굽는오남매,간식,063-463-8186,전북 군산시 오룡로 65-1
2,전주우족설렁탕,한식,063-445-9502,전북 군산시 대학로 88
3,빈해원,중식,063-445-2429,전북 군산시 동령길 57
4,일흥옥,한식,063-445-3580,전북 군산시 구영7길 25
5,유정초밥,일식,063-445-9844,전북 군산시 대학로 6-4
6,명월갈비,한식,063-445-8283,전북 군산시 구영7길 59
7,㈜이성당,간식,063-450-3528,전북 군산시 중앙로 177
8,원조뽀빠이냉면,한식,063-446-1785,전북 군산시 장재길 12-4
9,장미칼국수,한식,063-443-2816,전북 군산시 큰샘길 26
10,유락식당,한식,063-445-6730,전북 군산시 해망로 146-25
11,운정식당,한식,063-446-0891,전북 군산시 중정길 8-2
12,쌍용반점,중식,063-443-1259,전북 군산시 내항2길 121
13,계곡가든,한식,063-453-0608,전북 군산시 개정면 금강로 470-1
