Column,legalName,RoadNameAddress,telephone,recipeCategory,category
1,매주육일,전북 군산시 궁포3로 13,063-442-0062,이베리코 돼지고기,한식
2,명륜진사갈비조촌점,전북 군산시 진포로 211,063-445-8500,숯불돼지갈비,한식
3,보배밥상,전북 군산시 남수송4길 8-6,063-461-6692,"더덕제육쌈밥, 생선구이",한식
4,가시리,전북 군산시 미원3길 13,063-446-4613,"생선탕, 생선찜, 생선회",한식
5,갈비스토리,전북 군산시 하나운1길 15,063-442-2832,돼지갈비,한식
6,어시장활어회직거래판매장,전북 군산시 신평길 20,063-471-8844,"생선회, 생선탕, 킹크랩찜",한식
7,라라코스트수송점,전북 군산시 월명로 254,063-466-3230,"스테이크, 필라프",양식
8,남원용담골추어탕,전북 군산시 수송로 315,063-467-7952,"추어탕, 코다리",한식
9,아리랑,전북 군산시 해망로 224,063-442-1207,"흰찰쌀보리비빔밥, 황금박대정식",한식
10,수원성,전북 군산시 월명로 281,063-453-0002,"갈비, 갈비탕",한식
11,화심순두부군산점,전북 군산시 미장서로 40,063-910-0051,순두부,한식
12,금송,전북 군산시 남수송6길 7,063-464-6038,"생선회,생선탕,물회",한식
13,함흥관,전북 군산시 해망로 550,063-466-0038,"냉면, 돼지갈비",한식
14,명륜진사갈비군산본점,전북 군산시 문화로 95,063-466-3621,갈비,한식
15,전주우족설렁탕,전북 군산시 대학로 88,063-445-9502,"우족탕, 설렁탕",한식
16,압강옥,전북 군산시 삼수길 46,063-452-2777,"쇠고기전골,냉면,갈비구이",한식
17,남산식당,전북 군산시 흥남2길 60,063-442-4442,"꽃등심,안창살,육회, 삼겹살",한식
18,신선가든,전북 군산시 회현면 대위안길 45,063-466-6162,닭요리,한식
19,고래면옥,전북 군산시 나운5길 8,063-468-1616,"냉면,버섯전골,삼겹살,갈비,한우",한식
20,계곡가든,전북 군산시 개정면 금강로 470,063-453-0608,"꽃게장백반,꽃게찜, 꽃게탕, 야채찜",한식
21,사골뚝배기,전북 군산 거석길 29,063-445-1107,한우곰탕,한식
22,고래설렁탕,전북 군산시 공단대로 408,063-468-0606,"설렁탕, 도가니찜, 꼬리찜",한식
23,지미원,전북 군산시 부곡1길 6,063-463-3900,궁중한정식,한식
24,바다회집현대코아점,전북 군산시 문화안길 11,063-466-1197,"회정식, 해물탕",한식
25,삼미정,전북 군산시 칠성5길 159,063-465-0775,"생선탕,생선찜",한식
26,쌍용반점,전북 군산시 내항2길 121,063-443-1259,해물짬뽕,중식
27,군산한우촌,전북 군산시 대학로 649,063-465-6969,한우전문,한식
28,궁전갈치찜,전북 군산시 구영6길 71,063-445-7770,갈치찜,한식
29,신고궁한정식,전북 군산시 조촌1길 10,063-451-0111,한정식,한식
30,한소끔,전북 군산시 백토로 284-8,063-462-8181,해물요리,한식
31,미향,전북 군산시 소룡길 52,063-465-1910,"생선회, 생선찜, 생선탕",중식
32,금강해물칼국수,전북 군산시 성산면 철새로 31,063-453-8858,"칼국수,돈가스",한식
33,모산방,전북 군산시 부원로 97-9,063-463-4411,퓨전한정식,한식
34,신가네칼국수,전북 군산시 성산면 철새로 31,063-453-6333,"칼국수, 만두",한식
35,새만금횟집,전북 군산 비응안7길 13,063-464-1001,"생선회,생선찜,생선탕",한식
36,웰미가수송점,전북 군산시 수송1길 17,063-462-0095,콩나물국밥,한식
37,해송,전북 군산시 서수송1길 12-5,063-466-0947,"생선회,생선찜,생선탕",한식
38,취향,전북 군산시 새만금북로 247,063-468-1592,한우고기,중식
39,조선화로집 군산수송점,전북 군산시 월명로 255,063-467-6067,꽃갈비살,한식
40,등대로,전북 군산시 비응로 71,063-446-9500,"해물샤브샤브,생선탕,퓨전일식",한식
41,제주도횟집,전북 군산시 동메1길 9-2,063-467-9548,"생선회,생선탕",한식
42,온새미로,전북 군산시 신설2길 5-6,063-463-6334,한정식,한식
43,장국명가,전북 군산시 새터길 25,063-443-3680,묵은지보쌈,한식
44,장가네,전북 군산시 비응동로 67,063-466-2995,"바지락죽,조개모듬칼국수",한식
45,다빈회관,전북 군산시 수송안길 25,063-466-7778,부대찌개전문,한식
46,풍천장어타운,전북 군산시 번영로 370,063-452-4422,풍천장어구이,한식
47,가든바베큐,전북 군산시 옥산면 대위로 128,063-464-5282,바베큐,한식
48,명인,전북 군산시 임피면 서원석곡로 602,063-452-2459,"냉면, 갈비",한식
49,콩뜰,전북 군산시 구영7길 21-9,063-445-2218,두부보쌈,한식
50,에이뷔페(A뷔페),전북 군산시 공단대로 179,063-464-5566,뷔페,양식
51,스위트인디아,전북 군산시 우체통거리1길 14,063-445-8522,인도음식,아시아음식
52,마루벌돌구이군산점,전북 군산시 축동안길 56,063-443-9233,"한우꽃등심,통삼겹살",한식
53,군산떡갈비,전북 군산시 미장6길 16,063-467-8877,떡갈비,한식
54,현대옥(미장점),전북 군산시 미장안7길 34,063-452-9885,콩나물국밥,한식
55,궁전꽃게장본점,전북 군산시 궁포1로 24-5,063-466-6677,궁전꽃게장정식,한식
56,풍천장어타운 경암점,전북 군산시 진포로 199,063-452-4422,장어구이,한식
57,샤브쌈주머니군산점,전북 군산시 수송로 315,063-463-7016,소고시샤브,샤브샤브
