id,legalName,RoadNameAddress,category
1,아서원,전북 군산시 경암5길 63,중식
2,국일식당,전북 군산시 평화길 99-4,한식
3,일출옥,전북 군산시 문화1길 36,한식
4,선현대솥뚜껑갈비,전북 군산시 서수송길 17,한식
5,제주도횟집,전북 군산시 동메1길 9-2,한식
6,토속해장국,전북 군산시 신촌2길 8-2,한식
7,명산칼국수,전북 군산시 오룡로 57-2,한식
8,대명옥,전북 군산시 번영로 17,한식
9,은혜식당,전북 군산시 구시장로 24,한식
10,가야장,전북 군산시 경암4길 4,중식
11,미주옥,전북 군산시 구영7길 133-4,한식
12,나라식당,전북 군산시 서흥안2길 30,한식
13,꼬꼬꽥꽥,전북 군산시 경암2길 24,한식
14,우리지빱,전북 군산시 구영6길 126,한식
15,시골마당,전북 군산시 부골2길 49,한식
16,일신옥,전북 군산시 구영7길 20,한식
17,이포크정육식당,전북 군산시 미원로 61,한식
18,이가매생이수제비칼국수,전북 군산시 조촌안3길 19,한식
19,유쾌한돈 미장점,전북 군산시 미장안7길 6,한식
20,카페에스더,전북 군산시 진포로 73,카페
21,치바라멘,전북 군산시 동수송9길 12,일식
